Individual,Trial,Predator,Circle,Initial ,Total ,Treatment,Scale Time,EscapeResponse,ColourDiffPercent,Colour Diff,Brightness D,Brightness.DifferencePercent,Avg Time,Weber Contrast,Length,Size
105,2,N,B,14,17,NB,2,SLOW,23.3577776,0.233577776,3145.238667,4.799326569,15.5,-0.761960285,214,21.4
105,3,P,Y,1,2,PY,1,FAST,2.8170622,0.028170622,17014.399,25.96230869,1.5,-0.945418645,214,21.4
105,4,N,Y,60,63,NY,2,SLOW,2.8170622,0.028170622,17014.399,25.96230869,61.5,-0.945418645,214,21.4
106,1,P,B,1,2,PB,1,FAST,20.69356,0.2069356,3331.139,5.082992294,1.5,-0.687317079,337,33.7
106,2,N,B,5,7,NB,1,FAST,20.69356,0.2069356,3331.139,5.082992294,6,-0.687317079,337,33.7
106,3,P,Y,1,2,PY,1,FAST,1.1963187,0.011963187,18300.376,27.92458381,1.5,-0.923546039,337,33.7
106,4,N,Y,22,24,NY,2,SLOW,1.1963187,0.011963187,18300.376,27.92458381,23,-0.923546039,337,33.7
107,1,P,B,2,3,PB,1,FAST,23.2898963,0.232898963,1333.086667,2.034159864,2.5,-0.276325191,232,23.2
107,2,N,B,0,0,NB,3,SLOW,23.2898963,0.232898963,1333.086667,2.034159864,0,-0.276325191,232,23.2
107,3,P,Y,12,22,PY,2,SLOW,5.4171333,0.054171333,15721.184,23.98898909,17,-0.818402247,232,23.2
107,4,N,Y,271,276,NY,2,SLOW,5.4171333,0.054171333,15721.184,23.98898909,273.5,-0.818402247,232,23.2
108,1,P,B,6,7,PB,1,FAST,17.4485771,0.174485771,1703.629333,2.59957173,6.5,-0.358344456,262,26.2
108,2,N,B,13,14,NB,2,SLOW,17.4485771,0.174485771,1703.629333,2.59957173,13.5,-0.358344456,262,26.2
108,3,P,Y,1,2,PY,1,FAST,3.6090338,0.036090338,15168.24433,23.14525724,1.5,-0.832639068,262,26.2
108,4,N,Y,7,11,NY,1,FAST,3.6090338,0.036090338,15168.24433,23.14525724,9,-0.832639068,262,26.2
109,1,P,B,1,2,PB,1,FAST,26.3809691,0.263809691,2116.528,3.22961471,1.5,-0.48530917,230,23
109,2,N,B,7,9,NB,1,FAST,26.3809691,0.263809691,2116.528,3.22961471,8,-0.48530917,230,23
109,3,P,Y,1,3,PY,1,FAST,7.0068105,0.070068105,17470.02367,26.65754737,2,-0.886192927,230,23
109,4,N,Y,1,4,NY,1,FAST,7.0068105,0.070068105,17470.02367,26.65754737,2.5,-0.886192927,230,23
110,1,P,B,1,11,PB,1,FAST,30.244526,0.30244526,2141.880667,3.268300399,6,-0.453837277,217,21.7
110,2,N,B,16,23,NB,2,SLOW,30.244526,0.30244526,2141.880667,3.268300399,19.5,-0.453837277,217,21.7
110,3,P,Y,1,2,PY,1,FAST,11.2113773,0.112113773,15214.341,23.21559625,1.5,-0.855195169,217,21.7
110,4,N,Y,4,21,NY,2,SLOW,11.2113773,0.112113773,15214.341,23.21559625,12.5,-0.855195169,217,21.7
111,1,P,B,1,2,PB,1,FAST,21.4175642,0.214175642,3631.942333,5.541988759,1.5,-0.755961989,201,20.1
111,2,N,B,1,2,NB,1,FAST,21.4175642,0.214175642,3631.942333,5.541988759,1.5,-0.755961989,201,20.1
111,3,P,Y,1,2,PY,1,FAST,1.3873607,0.013873607,17514.74733,26.72579131,1.5,-0.937276332,201,20.1
111,4,N,Y,5,6,NY,1,FAST,1.3873607,0.013873607,17514.74733,26.72579131,5.5,-0.937276332,201,20.1
112,1,P,B,2,3,PB,1,FAST,14.0809136,0.140809136,2563.012,3.910905623,2.5,-0.566840349,201,20.1
112,2,N,B,12,13,NB,2,SLOW,14.0809136,0.140809136,2563.012,3.910905623,12.5,-0.566840349,201,20.1
112,3,P,Y,1,3,PY,1,FAST,7.2106939,0.072106939,16598.58933,25.32782381,2,-0.894490947,201,20.1
112,4,N,Y,17,18,NY,2,SLOW,7.2106939,0.072106939,16598.58933,25.32782381,17.5,-0.894490947,201,20.1
113,1,P,B,1,2,PB,1,FAST,7.8550322,0.078550322,4004.519333,6.110504819,1.5,-0.788608901,143,14.3
113,2,N,B,1,2,NB,1,FAST,7.8550322,0.078550322,4004.519333,6.110504819,1.5,-0.788608901,143,14.3
113,3,P,Y,1,2,PY,1,FAST,12.2823123,0.122823123,17772.088,27.11846799,1.5,-0.94305369,143,14.3
113,4,N,Y,1,2,NY,1,FAST,12.2823123,0.122823123,17772.088,27.11846799,1.5,-0.94305369,143,14.3
114,1,P,B,1,10,PB,1,FAST,23.4048698,0.234048698,549.463,0.838426795,5.5,-0.115792123,218,21.8
114,2,N,B,1,12,NB,1,FAST,23.4048698,0.234048698,549.463,0.838426795,6.5,-0.115792123,218,21.8
114,3,P,Y,1,6,PY,1,FAST,4.8373354,0.048373354,14368.67,21.92518502,3.5,-0.774342905,218,21.8
114,4,N,Y,22,24,NY,2,SLOW,4.8373354,0.048373354,14368.67,21.92518502,23,-0.774342905,218,21.8
115,1,P,B,1,2,PB,1,FAST,18.3389422,0.183389422,896.6336667,1.368175275,1.5,0.18399383,158,15.8
115,2,N,B,21,22,NB,2,SLOW,18.3389422,0.183389422,896.6336667,1.368175275,21.5,0.18399383,158,15.8
115,3,P,Y,2,3,PY,1,FAST,1.3687113,0.013687113,12763.05633,19.47517561,2.5,-0.688447888,158,15.8
115,4,N,Y,6,7,NY,1,FAST,1.3687113,0.013687113,12763.05633,19.47517561,6.5,-0.688447888,158,15.8
116,1,P,B,2,3,PB,1,FAST,21.613428,0.21613428,2303.931333,3.515573866,2.5,-0.518443816,155,15.5
116,2,N,B,12,17,NB,2,SLOW,21.613428,0.21613428,2303.931333,3.515573866,14.5,-0.518443816,155,15.5
116,3,P,Y,1,2,PY,1,FAST,3.1737023,0.031737023,16689.584,25.46667277,1.5,-0.886393088,155,15.5
116,4,N,Y,8,9,NY,1,FAST,3.1737023,0.031737023,16689.584,25.46667277,8.5,-0.886393088,155,15.5
117,1,P,B,1,3,PB,1,FAST,18.825087,0.18825087,123.1706667,0.18794639,2,-0.02638925,119,11.9
117,2,N,B,1,2,NB,1,FAST,18.825087,0.18825087,123.1706667,0.18794639,1.5,-0.02638925,119,11.9
117,3,P,Y,1,11,PY,1,FAST,0.7666276,0.007666276,14494.215,22.11675441,6,-0.762742107,119,11.9
117,4,N,Y,0,0,NY,3,SLOW,0.7666276,0.007666276,14494.215,22.11675441,0,-0.762742107,119,11.9
118,1,P,B,1,2,PB,1,FAST,20.4198568,0.204198568,8488.144333,12.95207802,1.5,1.75728709,112,11.2
118,2,N,B,1,2,NB,1,FAST,20.4198568,0.204198568,8488.144333,12.95207802,1.5,1.75728709,112,11.2
118,3,P,Y,1,2,PY,1,FAST,1.6042421,0.016042421,6181.876333,9.432938633,1.5,-0.316988815,112,11.2
118,4,N,Y,1,2,NY,1,FAST,1.6042421,0.016042421,6181.876333,9.432938633,1.5,-0.316988815,112,11.2
119,1,P,B,1,15,PB,1,FAST,14.3799281,0.143799281,3196.459667,4.877484805,8,-0.672475416,148,14.8
119,2,N,B,3,34,NB,2,SLOW,14.3799281,0.143799281,3196.459667,4.877484805,18.5,-0.672475416,148,14.8
119,3,P,Y,1,2,PY,1,FAST,6.0045484,0.060045484,17012.462,25.95935302,1.5,-0.916185606,148,14.8
119,4,N,Y,10,12,NY,2,SLOW,6.0045484,0.060045484,17012.462,25.95935302,11,-0.916185606,148,14.8
120,1,P,B,1,2,PB,1,FAST,23.1046904,0.231046904,404.0193333,0.616493985,1.5,0.08868231,214,21.4
120,2,N,B,69,72,NB,2,SLOW,23.1046904,0.231046904,404.0193333,0.616493985,70.5,0.08868231,214,21.4
120,3,P,Y,3,11,PY,1,FAST,2.6370336,0.026370336,14043.84267,21.42953028,7,-0.738464794,214,21.4
120,4,N,Y,1,11,NY,1,FAST,2.6370336,0.026370336,14043.84267,21.42953028,6,-0.738464794,214,21.4
121,1,P,B,1,2,PB,1,FAST,8.7978484,0.087978484,3003.084333,4.58241296,1.5,-0.589027512,130,13
121,2,N,B,41,43,NB,2,SLOW,8.7978484,0.087978484,3003.084333,4.58241296,42,-0.589027512,130,13
121,3,P,Y,1,2,PY,1,FAST,11.3553681,0.113553681,15663.59333,23.90111137,1.5,-0.882045996,130,13
121,4,N,Y,7,9,NY,1,FAST,11.3553681,0.113553681,15663.59333,23.90111137,8,-0.882045996,130,13
122,1,P,B,1,2,PB,1,FAST,10.5247817,0.105247817,987.9356667,1.507493197,1.5,0.165713686,201,20.1
122,2,N,B,10,11,NB,2,SLOW,10.5247817,0.105247817,987.9356667,1.507493197,10.5,0.165713686,201,20.1
122,3,P,Y,1,2,PY,1,FAST,6.4853099,0.064853099,9599.915333,14.64853183,1.5,-0.579958232,201,20.1
122,4,N,Y,1,3,NY,1,FAST,6.4853099,0.064853099,9599.915333,14.64853183,2,-0.579958232,201,20.1
124,1,P,B,1,2,PB,1,FAST,18.3726093,0.183726093,2049.726,3.127681392,1.5,-0.464977757,167,16.7
124,2,N,B,3,4,NB,1,FAST,18.3726093,0.183726093,2049.726,3.127681392,3.5,-0.464977757,167,16.7
124,3,P,Y,2,3,PY,1,FAST,5.7741856,0.057741856,13573.83833,20.71234964,2.5,-0.852028207,167,16.7
124,4,N,Y,1,2,NY,1,FAST,5.7741856,0.057741856,13573.83833,20.71234964,1.5,-0.852028207,167,16.7
125,1,P,B,1,2,PB,1,FAST,14.4745774,0.144745774,3034.882667,4.630934106,1.5,-0.609798487,198,19.8
125,2,N,B,7,9,NB,1,FAST,14.4745774,0.144745774,3034.882667,4.630934106,8,-0.609798487,198,19.8
125,3,P,Y,1,2,PY,1,FAST,6.0319519,0.060319519,15509.374,23.66578775,1.5,-0.888753785,198,19.8
125,4,N,Y,17,19,NY,2,SLOW,6.0319519,0.060319519,15509.374,23.66578775,18,-0.888753785,198,19.8
126,1,P,B,1,2,PB,1,FAST,14.154833,0.14154833,1302.485333,1.987465222,1.5,-0.266502742,246,24.6
126,2,N,B,1,9,NB,1,FAST,14.154833,0.14154833,1302.485333,1.987465222,5,-0.266502742,246,24.6
126,3,P,Y,1,2,PY,1,FAST,4.2243568,0.042243568,13330.83567,20.34155133,1.5,-0.788177329,246,24.6
126,4,N,Y,1,2,NY,1,FAST,4.2243568,0.042243568,13330.83567,20.34155133,1.5,-0.788177329,246,24.6
127,1,P,B,2,33,PB,2,SLOW,26.3488587,0.263488587,2739.019667,4.179476107,17.5,-0.596878167,360,36
127,2,N,B,1,23,NB,2,SLOW,26.3488587,0.263488587,2739.019667,4.179476107,12,-0.596878167,360,36
127,3,P,Y,2,22,PY,2,SLOW,5.7650237,0.057650237,15238.25733,23.25209023,12,-0.8917848,360,36
127,4,N,Y,100,0,NY,2,SLOW,5.7650237,0.057650237,15238.25733,23.25209023,20.5,-0.8917848,360,36
128,1,P,B,1,2,PB,1,FAST,11.8885396,0.118885396,3088.832667,4.71325653,1.5,-0.619592328,153,15.3
128,2,N,B,7,8,NB,1,FAST,11.8885396,0.118885396,3088.832667,4.71325653,7.5,-0.619592328,153,15.3
128,3,P,Y,1,2,PY,1,FAST,8.6899039,0.086899039,15573.67533,23.76390529,1.5,-0.891477418,153,15.3
128,4,N,Y,4,5,NY,1,FAST,8.6899039,0.086899039,15573.67533,23.76390529,4.5,-0.891477418,153,15.3
129,1,P,B,1,2,PB,1,FAST,10.6257908,0.106257908,3341.791333,5.099246713,1.5,-0.753455724,164,16.4
129,2,N,B,1,15,NB,1,FAST,10.6257908,0.106257908,3341.791333,5.099246713,8,-0.753455724,164,16.4
129,3,P,Y,1,2,PY,1,FAST,10.1779028,0.101779028,16624.70467,25.36767325,1.5,-0.938299501,164,16.4
129,4,N,Y,1,2,NY,1,FAST,10.1779028,0.101779028,16624.70467,25.36767325,1.5,-0.938299501,164,16.4
130,1,P,B,1,2,PB,1,FAST,9.9380409,0.099380409,3304.919667,5.042984156,1.5,-0.712173081,167,16.7
130,2,N,B,13,14,NB,2,SLOW,9.9380409,0.099380409,3304.919667,5.042984156,13.5,-0.712173081,167,16.7
