Individual,Trial,Predator,Circle,Initial ,Total ,Treatment,Scale Time,EscapeResponse,ColourDiffPercent,Colour Diff,Brightness D,Brightness.DifferencePercent,Avg Time,Weber Contrast,Length,Size
1,1,P,B,20,21,PB,2,SLOW,12.1010963,0.121010963,1096.352,1.672925917,20.5,0.139760906,292,29.2
1,2,N,B,14,21,NB,2,SLOW,12.1010963,0.121010963,1096.352,1.672925917,17.5,0.139760906,292,29.2
1,3,P,Y,1,2,PY,1,FAST,3.4063475,0.034063475,10657.59967,16.26245467,1.5,-0.543598892,292,29.2
1,4,N,Y,8,14,NY,2,SLOW,3.4063475,0.034063475,10657.59967,16.26245467,11,-0.543598892,292,29.2
2,1,P,B,5,8,PB,1,FAST,17.7439685,0.177439685,4969.642,7.58318761,6.5,-0.776098205,350,35
2,2,N,B,0,0,NB,3,SLOW,17.7439685,0.177439685,4969.642,7.58318761,0,-0.776098205,350,35
2,3,P,Y,3,12,PY,1,FAST,4.6304412,0.046304412,18927.13467,28.88095623,7.5,-0.92960005,350,35
2,4,N,Y,6,20,NY,2,SLOW,4.6304412,0.046304412,18927.13467,28.88095623,13,-0.92960005,350,35
3,1,P,B,2,3,PB,1,FAST,12.3610897,0.123610897,5737.175667,8.754368912,2.5,-0.840480883,146,14.6
3,2,N,B,8,9,NB,1,FAST,12.3610897,0.123610897,5737.175667,8.754368912,8.5,-0.840480883,146,14.6
3,3,P,Y,1,2,PY,1,FAST,3.9567605,0.039567605,18141.50533,27.68216271,1.5,-0.943388061,146,14.6
3,4,N,Y,4,6,NY,1,FAST,3.9567605,0.039567605,18141.50533,27.68216271,5,-0.943388061,146,14.6
