Individual,Trial,Predator,Circle,Initial,Total,Treatment,ColourDifference ,Brightness,Scale Time,Pattern Scale,Avg time,EscapeResponse,ColourDiffPercent,ColourDiff,Brightness.DifferencePercent,Brightness.Difference,Length,Size
14,4,N,Y,2,3,NY,0.043163355,18122.47233,1,2,2.5,FAST,4.3163355,0.043163355,27.7611402,0.277611402,129,12.9
14,5,B,Y,1,2,BY,0.043163355,18122.47233,1,2,1.5,FAST,4.3163355,0.043163355,27.7611402,0.277611402,129,12.9
14,6,F,Y,0,0,FY,0.043163355,18122.47233,1,2,0,FAST,4.3163355,0.043163355,27.7611402,0.277611402,129,12.9
15,1,N,B,2,3,NB,0.114684942,1353.907333,1,2,2.5,FAST,11.4684942,0.114684942,2.0740002,0.020740002,98,9.8
15,2,B,B,3,6,BB,0.114684942,1353.907333,1,2,4.5,FAST,11.4684942,0.114684942,2.0740002,0.020740002,98,9.8
15,3,F,B,2,5,FB,0.114684942,1353.907333,1,2,3.5,FAST,11.4684942,0.114684942,2.0740002,0.020740002,98,9.8
15,4,N,Y,5,6,NY,0.047044915,18580.02467,1,2,5.5,SLOW,4.7044915,0.047044915,28.4620476,0.284620476,98,9.8
15,5,B,Y,1,2,BY,0.047044915,18580.02467,1,2,1.5,FAST,4.7044915,0.047044915,28.4620476,0.284620476,98,9.8
15,6,F,Y,3,4,FY,0.047044915,18580.02467,1,2,3.5,FAST,4.7044915,0.047044915,28.4620476,0.284620476,98,9.8
16,1,N,B,2,3,NB,0.214893021,240.1036667,1,1,2.5,FAST,21.4893021,0.214893021,0.3678059,0.003678059,108,10.8
16,2,B,B,2,3,BB,0.214893021,240.1036667,1,1,2.5,FAST,21.4893021,0.214893021,0.3678059,0.003678059,108,10.8
16,3,F,B,1,2,FB,0.214893021,240.1036667,1,1,1.5,FAST,21.4893021,0.214893021,0.3678059,0.003678059,108,10.8
16,4,N,Y,2,3,NY,0.033475463,17491.64267,1,1,2.5,FAST,3.3475463,0.033475463,26.7947958,0.267947958,108,10.8
16,5,B,Y,4,5,BY,0.033475463,17491.64267,1,1,4.5,FAST,3.3475463,0.033475463,26.7947958,0.267947958,108,10.8
16,6,F,Y,1,2,FY,0.033475463,17491.64267,1,1,1.5,FAST,3.3475463,0.033475463,26.7947958,0.267947958,108,10.8
17,1,N,B,2,3,NB,0.217091971,1395.425,1,2,2.5,FAST,21.7091971,0.217091971,2.1375996,0.021375996,135,13.5
17,2,B,B,2,22,BB,0.217091971,1395.425,2,2,12,SLOW,21.7091971,0.217091971,2.1375996,0.021375996,135,13.5
17,3,F,B,24,27,FB,0.217091971,1395.425,2,2,25.5,SLOW,21.7091971,0.217091971,2.1375996,0.021375996,135,13.5
17,4,N,Y,10,11,NY,0.036153219,18516.14067,2,2,10.5,SLOW,3.6153219,0.036153219,28.3641861,0.283641861,135,13.5
17,5,B,Y,3,4,BY,0.036153219,18516.14067,1,2,3.5,FAST,3.6153219,0.036153219,28.3641861,0.283641861,135,13.5
17,6,F,Y,15,16,FY,0.036153219,18516.14067,2,2,15.5,SLOW,3.6153219,0.036153219,28.3641861,0.283641861,135,13.5
18,1,N,B,2,3,NB,0.116754603,32.96333333,1,1,2.5,FAST,11.6754603,0.116754603,0.0504953,0.000504953,245,24.5
18,2,B,B,2,3,BB,0.116754603,32.96333333,1,1,2.5,FAST,11.6754603,0.116754603,0.0504953,0.000504953,245,24.5
18,3,F,B,4,5,FB,0.116754603,32.96333333,1,1,4.5,FAST,11.6754603,0.116754603,0.0504953,0.000504953,245,24.5
18,4,N,Y,2,3,NY,0.026933304,17072.42967,1,1,2.5,FAST,2.6933304,0.026933304,26.152619,0.26152619,245,24.5
18,5,B,Y,1,2,BY,0.026933304,17072.42967,1,1,1.5,FAST,2.6933304,0.026933304,26.152619,0.26152619,245,24.5
18,6,F,Y,2,3,FY,0.026933304,17072.42967,1,1,2.5,FAST,2.6933304,0.026933304,26.152619,0.26152619,245,24.5
19,1,N,B,3,4,NB,0.157178144,1180.901667,1,2,3.5,FAST,15.7178144,0.157178144,1.8089793,0.018089793,257,25.7
19,2,B,B,1,2,BB,0.157178144,1180.901667,1,2,1.5,FAST,15.7178144,0.157178144,1.8089793,0.018089793,257,25.7
19,3,F,B,5,6,FB,0.157178144,1180.901667,1,2,5.5,SLOW,15.7178144,0.157178144,1.8089793,0.018089793,257,25.7
19,4,N,Y,11,12,NY,0.04228988,18490.04333,2,2,11.5,SLOW,4.228988,0.04228988,28.3242085,0.283242085,257,25.7
19,5,B,Y,2,3,BY,0.04228988,18490.04333,1,2,2.5,FAST,4.228988,0.04228988,28.3242085,0.283242085,257,25.7
19,6,F,Y,2,3,FY,0.04228988,18490.04333,1,2,2.5,FAST,4.228988,0.04228988,28.3242085,0.283242085,257,25.7
20,1,N,B,1,2,NB,0.237189841,1492.884333,1,2,1.5,FAST,23.7189841,0.237189841,2.2868939,0.022868939,233,23.3
20,2,B,B,14,16,BB,0.237189841,1492.884333,2,2,15,SLOW,23.7189841,0.237189841,2.2868939,0.022868939,233,23.3
20,3,F,B,3,13,FB,0.237189841,1492.884333,1,2,8,SLOW,23.7189841,0.237189841,2.2868939,0.022868939,233,23.3
20,4,N,Y,3,4,NY,0.079258911,19961.82833,1,2,3.5,FAST,7.9258911,0.079258911,30.5787811,0.305787811,233,23.3
20,5,B,Y,1,2,BY,0.079258911,19961.82833,1,2,1.5,FAST,7.9258911,0.079258911,30.5787811,0.305787811,233,23.3
20,6,F,Y,4,5,FY,0.079258911,19961.82833,1,2,4.5,FAST,7.9258911,0.079258911,30.5787811,0.305787811,233,23.3
21,1,N,B,2,3,NB,0.223929796,4261.622,1,4,2.5,FAST,22.3929796,0.223929796,6.52822,0.0652822,200,20
21,2,B,B,2,3,BB,0.223929796,4261.622,1,4,2.5,FAST,22.3929796,0.223929796,6.52822,0.0652822,200,20
21,3,F,B,2,3,FB,0.223929796,4261.622,1,4,2.5,FAST,22.3929796,0.223929796,6.52822,0.0652822,200,20
21,4,N,Y,2,3,NY,0.127673651,20184.14533,1,4,2.5,FAST,12.7673651,0.127673651,30.9193403,0.309193403,200,20
21,5,B,Y,2,3,BY,0.127673651,20184.14533,1,4,2.5,FAST,12.7673651,0.127673651,30.9193403,0.309193403,200,20
21,6,F,Y,28,29,FY,0.127673651,20184.14533,2,4,28.5,SLOW,12.7673651,0.127673651,30.9193403,0.309193403,200,20
22,1,N,B,2,3,NB,0.231207744,1460.416667,1,2,2.5,FAST,23.1207744,0.231207744,2.2371579,0.022371579,365,36.5
22,2,B,B,2,3,BB,0.231207744,1460.416667,1,2,2.5,FAST,23.1207744,0.231207744,2.2371579,0.022371579,365,36.5
22,3,F,B,3,5,FB,0.231207744,1460.416667,1,2,4,FAST,23.1207744,0.231207744,2.2371579,0.022371579,365,36.5
22,4,N,Y,6,7,NY,0.031971151,19264.35133,1,2,6.5,SLOW,3.1971151,0.031971151,29.5103421,0.295103421,365,36.5
22,5,B,Y,2,3,BY,0.031971151,19264.35133,1,2,2.5,FAST,3.1971151,0.031971151,29.5103421,0.295103421,365,36.5
22,6,F,Y,2,3,FY,0.031971151,19264.35133,1,2,2.5,FAST,3.1971151,0.031971151,29.5103421,0.295103421,365,36.5
23,1,N,B,2,8,NB,0.238601625,987.3566667,1,4,5,SLOW,23.8601625,0.238601625,1.5124949,0.015124949,131,13.1
23,2,B,B,3,4,BB,0.238601625,987.3566667,1,4,3.5,FAST,23.8601625,0.238601625,1.5124949,0.015124949,131,13.1
23,3,F,B,5,6,FB,0.238601625,987.3566667,1,4,5.5,SLOW,23.8601625,0.238601625,1.5124949,0.015124949,131,13.1
23,4,N,Y,3,5,NY,0.064044667,19871.41067,1,4,4,FAST,6.4044667,0.064044667,30.4402737,0.304402737,131,13.1
23,5,B,Y,3,4,BY,0.064044667,19871.41067,1,4,3.5,FAST,6.4044667,0.064044667,30.4402737,0.304402737,131,13.1
23,6,F,Y,5,6,FY,0.064044667,19871.41067,1,4,5.5,SLOW,6.4044667,0.064044667,30.4402737,0.304402737,131,13.1
24,1,N,B,2,3,NB,0.16491049,1947.764,1,3,2.5,FAST,16.491049,0.16491049,2.9837071,0.029837071,106,10.6
24,2,B,B,10,11,BB,0.16491049,1947.764,2,3,10.5,SLOW,16.491049,0.16491049,2.9837071,0.029837071,106,10.6
24,3,F,B,30,31,FB,0.16491049,1947.764,2,3,30.5,SLOW,16.491049,0.16491049,2.9837071,0.029837071,106,10.6
24,4,N,Y,1,2,NY,0.04027215,13302.25733,1,3,1.5,FAST,4.027215,0.04027215,20.3772324,0.203772324,106,10.6
24,5,B,Y,2,21,BY,0.04027215,13302.25733,2,3,11.5,SLOW,4.027215,0.04027215,20.3772324,0.203772324,106,10.6
24,6,F,Y,9,10,FY,0.04027215,13302.25733,1,3,9.5,SLOW,4.027215,0.04027215,20.3772324,0.203772324,106,10.6
25,1,N,B,10,11,NB,0.145602935,1551.195333,2,4,10.5,SLOW,14.5602935,0.145602935,2.3762183,0.023762183,133,13.3
25,2,B,B,2,3,BB,0.145602935,1551.195333,1,4,2.5,FAST,14.5602935,0.145602935,2.3762183,0.023762183,133,13.3
25,3,F,B,7,8,FB,0.145602935,1551.195333,1,4,7.5,SLOW,14.5602935,0.145602935,2.3762183,0.023762183,133,13.3
25,4,N,Y,2,3,NY,0.020777556,19502.63267,1,4,2.5,FAST,2.0777556,0.020777556,29.8753564,0.298753564,133,13.3
25,5,B,Y,4,5,BY,0.020777556,19502.63267,1,4,4.5,FAST,2.0777556,0.020777556,29.8753564,0.298753564,133,13.3
25,6,F,Y,5,12,FY,0.020777556,19502.63267,1,4,8.5,SLOW,2.0777556,0.020777556,29.8753564,0.298753564,133,13.3
26,1,N,B,3,4,NB,0.253238851,1217.673,1,2,3.5,FAST,25.3238851,0.253238851,1.8653079,0.018653079,218,21.8
26,2,B,B,2,11,BB,0.253238851,1217.673,1,2,6.5,SLOW,25.3238851,0.253238851,1.8653079,0.018653079,218,21.8
26,3,F,B,28,30,FB,0.253238851,1217.673,2,2,29,SLOW,25.3238851,0.253238851,1.8653079,0.018653079,218,21.8
26,4,N,Y,2,3,NY,0.04842432,20362.39667,1,2,2.5,FAST,4.842432,0.04842432,31.1923969,0.311923969,218,21.8
26,5,B,Y,2,3,BY,0.04842432,20362.39667,1,2,2.5,FAST,4.842432,0.04842432,31.1923969,0.311923969,218,21.8
26,6,F,Y,2,3,FY,0.04842432,20362.39667,1,2,2.5,FAST,4.842432,0.04842432,31.1923969,0.311923969,218,21.8
27,1,N,B,6,8,NB,0.117170311,1104.666667,1,4,7,SLOW,11.7170311,0.117170311,1.6921977,0.016921977,95,9.5
27,2,B,B,3,4,BB,0.117170311,1104.666667,1,4,3.5,FAST,11.7170311,0.117170311,1.6921977,0.016921977,95,9.5
27,3,F,B,13,20,FB,0.117170311,1104.666667,2,4,16.5,SLOW,11.7170311,0.117170311,1.6921977,0.016921977,95,9.5
27,4,N,Y,10,15,NY,0.006214799,15367.47133,2,4,12.5,SLOW,0.6214799,0.006214799,23.5408568,0.235408568,95,9.5
27,5,B,Y,2,3,BY,0.006214799,15367.47133,1,4,2.5,FAST,0.6214799,0.006214799,23.5408568,0.235408568,95,9.5
27,6,F,Y,2,3,FY,0.006214799,15367.47133,1,4,2.5,FAST,0.6214799,0.006214799,23.5408568,0.235408568,95,9.5
28,1,N,B,2,3,NB,0.24443031,976.5276667,1,2,2.5,FAST,24.443031,0.24443031,1.4959064,0.014959064,119,11.9
28,2,B,B,2,3,BB,0.24443031,976.5276667,1,2,2.5,FAST,24.443031,0.24443031,1.4959064,0.014959064,119,11.9
28,3,F,B,1,2,FB,0.24443031,976.5276667,1,2,1.5,FAST,24.443031,0.24443031,1.4959064,0.014959064,119,11.9
28,4,N,Y,1,2,NY,0.044906269,20170.67467,1,2,1.5,FAST,4.4906269,0.044906269,30.8987051,0.308987051,119,11.9
28,5,B,Y,10,12,BY,0.044906269,20170.67467,2,2,11,SLOW,4.4906269,0.044906269,30.8987051,0.308987051,119,11.9
28,6,F,Y,5,26,FY,0.044906269,20170.67467,2,2,15.5,SLOW,4.4906269,0.044906269,30.8987051,0.308987051,119,11.9
29,1,N,B,5,7,NB,0.25890409,2625.793333,1,3,6,SLOW,25.890409,0.25890409,4.022355,0.04022355,91,9.1
29,2,B,B,3,4,BB,0.25890409,2625.793333,1,3,3.5,FAST,25.890409,0.25890409,4.022355,0.04022355,91,9.1
29,3,F,B,1,2,FB,0.25890409,2625.793333,1,3,1.5,FAST,25.890409,0.25890409,4.022355,0.04022355,91,9.1
29,4,N,Y,1,2,NY,0.07096439,15658.61467,1,3,1.5,FAST,7.096439,0.07096439,23.9868484,0.239868484,91,9.1
29,5,B,Y,2,3,BY,0.07096439,15658.61467,1,3,2.5,FAST,7.096439,0.07096439,23.9868484,0.239868484,91,9.1
29,6,F,Y,1,2,FY,0.07096439,15658.61467,1,3,1.5,FAST,7.096439,0.07096439,23.9868484,0.239868484,91,9.1
30,1,N,B,1,2,NB,0.17677169,402.8226667,1,4,1.5,FAST,17.677169,0.17677169,0.617069,0.00617069,100,10
30,2,B,B,1,2,BB,0.17677169,402.8226667,1,4,1.5,FAST,17.677169,0.17677169,0.617069,0.00617069,100,10
30,3,F,B,1,2,FB,0.17677169,402.8226667,1,4,1.5,FAST,17.677169,0.17677169,0.617069,0.00617069,100,10
30,4,N,Y,6,10,NY,0.006960906,18160.64233,1,4,8,SLOW,0.6960906,0.006960906,27.8196114,0.278196114,100,10
30,5,B,Y,1,2,BY,0.006960906,18160.64233,1,4,1.5,FAST,0.6960906,0.006960906,27.8196114,0.278196114,100,10
30,6,F,Y,1,2,FY,0.006960906,18160.64233,1,4,1.5,FAST,0.6960906,0.006960906,27.8196114,0.278196114,100,10
31,1,N,B,4,8,NB,0.270263454,1338.833667,1,4,6,SLOW,27.0263454,0.270263454,2.0509094,0.020509094,182,18.2
31,2,B,B,3,4,BB,0.270263454,1338.833667,1,4,3.5,FAST,27.0263454,0.270263454,2.0509094,0.020509094,182,18.2
