Individual,Trial,Predator,Circle,Initial,Total,Treatment,ColourDifference ,Brightness,Scale Time,Pattern Scale,Avg time,EscapeResponse,ColourDiffPercent,ColourDiff,Brightness.DifferencePercent,Brightness.Difference,Length,Size
43,1,N,B,17,19,NB,0.196762488,879.5086667,2,2,18,SLOW,19.6762488,0.196762488,1.3472866,0.013472866,170,17
43,2,B,B,4,23,BB,0.196762488,879.5086667,2,2,13.5,SLOW,19.6762488,0.196762488,1.3472866,0.013472866,170,17
43,3,F,B,3,7,FB,0.196762488,879.5086667,1,2,5,SLOW,19.6762488,0.196762488,1.3472866,0.013472866,170,17
43,4,N,Y,112,123,NY,0.013018115,12790.193,2,2,117.5,SLOW,1.3018115,0.013018115,19.5928202,0.195928202,170,17
43,5,B,Y,3,11,BY,0.013018115,12790.193,1,2,7,SLOW,1.3018115,0.013018115,19.5928202,0.195928202,170,17
43,6,F,Y,2,3,FY,0.013018115,12790.193,1,2,2.5,FAST,1.3018115,0.013018115,19.5928202,0.195928202,170,17
44,1,N,B,3,4,NB,0.192872767,5139.243667,1,1,3.5,FAST,19.2872767,0.192872767,7.8726159,0.078726159,143,14.3
44,2,B,B,3,4,BB,0.192872767,5139.243667,1,1,3.5,FAST,19.2872767,0.192872767,7.8726159,0.078726159,143,14.3
44,3,F,B,5,23,FB,0.192872767,5139.243667,2,1,14,SLOW,19.2872767,0.192872767,7.8726159,0.078726159,143,14.3
44,4,N,Y,11,15,NY,0.026566298,7158.225667,2,1,13,SLOW,2.6566298,0.026566298,10.9654192,0.109654192,143,14.3
44,5,B,Y,3,4,BY,0.026566298,7158.225667,1,1,3.5,FAST,2.6566298,0.026566298,10.9654192,0.109654192,143,14.3
44,6,F,Y,3,27,FY,0.026566298,7158.225667,2,1,15,SLOW,2.6566298,0.026566298,10.9654192,0.109654192,143,14.3
45,1,N,B,16,27,NB,0.13576018,3077.768,2,2,21.5,SLOW,13.576018,0.13576018,4.7147181,0.047147181,107,10.7
45,2,B,B,8,28,BB,0.13576018,3077.768,2,2,18,SLOW,13.576018,0.13576018,4.7147181,0.047147181,107,10.7
45,3,F,B,3,4,FB,0.13576018,3077.768,1,2,3.5,FAST,13.576018,0.13576018,4.7147181,0.047147181,107,10.7
45,4,N,Y,14,15,NY,0.077088468,15438.30567,2,2,14.5,SLOW,7.7088468,0.077088468,23.6493653,0.236493653,107,10.7
45,5,B,Y,2,3,BY,0.077088468,15438.30567,1,2,2.5,FAST,7.7088468,0.077088468,23.6493653,0.236493653,107,10.7
45,6,F,Y,1,2,FY,0.077088468,15438.30567,1,2,1.5,FAST,7.7088468,0.077088468,23.6493653,0.236493653,107,10.7
46,1,N,B,4,10,NB,0.09067265,1021.439333,1,1,7,SLOW,9.067265,0.09067265,1.5647049,0.015647049,102,10.2
46,2,B,B,3,22,BB,0.09067265,1021.439333,2,1,12.5,SLOW,9.067265,0.09067265,1.5647049,0.015647049,102,10.2
46,3,F,B,2,3,FB,0.09067265,1021.439333,1,1,2.5,FAST,9.067265,0.09067265,1.5647049,0.015647049,102,10.2
46,4,N,Y,14,15,NY,0.11770506,13540.59533,2,1,14.5,SLOW,11.770506,0.11770506,20.7423335,0.207423335,102,10.2
46,5,B,Y,3,4,BY,0.11770506,13540.59533,1,1,3.5,FAST,11.770506,0.11770506,20.7423335,0.207423335,102,10.2
46,6,F,Y,28,30,FY,0.11770506,13540.59533,2,1,29,SLOW,11.770506,0.11770506,20.7423335,0.207423335,102,10.2
47,1,N,B,9,11,NB,0.218563355,3344.045,2,3,10,SLOW,21.8563355,0.218563355,5.122618,0.05122618,110,11
47,2,B,B,3,4,BB,0.218563355,3344.045,1,3,3.5,FAST,21.8563355,0.218563355,5.122618,0.05122618,110,11
47,3,F,B,3,4,FB,0.218563355,3344.045,1,3,3.5,FAST,21.8563355,0.218563355,5.122618,0.05122618,110,11
47,4,N,Y,2,3,NY,0.020508593,10334.57167,1,3,2.5,FAST,2.0508593,0.020508593,15.8311453,0.158311453,110,11
47,5,B,Y,3,18,BY,0.020508593,10334.57167,2,3,10.5,SLOW,2.0508593,0.020508593,15.8311453,0.158311453,110,11
47,6,F,Y,8,9,FY,0.020508593,10334.57167,1,3,8.5,SLOW,2.0508593,0.020508593,15.8311453,0.158311453,110,11
48,1,N,B,4,7,NB,0.148020993,3103.023333,1,2,5.5,SLOW,14.8020993,0.148020993,4.7534058,0.047534058,147,14.7
48,2,B,B,4,7,BB,0.148020993,3103.023333,1,2,5.5,SLOW,14.8020993,0.148020993,4.7534058,0.047534058,147,14.7
48,3,F,B,9,10,FB,0.148020993,3103.023333,1,2,9.5,SLOW,14.8020993,0.148020993,4.7534058,0.047534058,147,14.7
48,4,N,Y,4,8,NY,0.063086176,15264.32233,1,2,6,SLOW,6.3086176,0.063086176,23.3828467,0.233828467,147,14.7
48,5,B,Y,3,4,BY,0.063086176,15264.32233,1,2,3.5,FAST,6.3086176,0.063086176,23.3828467,0.233828467,147,14.7
48,6,F,Y,3,32,FY,0.063086176,15264.32233,2,2,17.5,SLOW,6.3086176,0.063086176,23.3828467,0.233828467,147,14.7
49,1,N,B,22,26,NB,0.310538278,394.277,2,5,24,SLOW,31.0538278,0.310538278,0.6039782,0.006039782,160,16
49,2,B,B,3,11,BB,0.310538278,394.277,1,5,7,SLOW,31.0538278,0.310538278,0.6039782,0.006039782,160,16
49,3,F,B,3,4,FB,0.310538278,394.277,1,5,3.5,FAST,31.0538278,0.310538278,0.6039782,0.006039782,160,16
49,4,N,Y,26,38,NY,0.063906845,6822.783667,2,5,32,SLOW,6.3906845,0.063906845,10.4515681,0.104515681,160,16
49,5,B,Y,4,11,BY,0.063906845,6822.783667,1,5,7.5,SLOW,6.3906845,0.063906845,10.4515681,0.104515681,160,16
49,6,F,Y,3,20,FY,0.063906845,6822.783667,2,5,11.5,SLOW,6.3906845,0.063906845,10.4515681,0.104515681,160,16
50,1,N,B,2,3,NB,0.247270885,2201.402,1,2,2.5,FAST,24.7270885,0.247270885,3.3722457,0.033722457,250,25
50,2,B,B,3,4,BB,0.247270885,2201.402,1,2,3.5,FAST,24.7270885,0.247270885,3.3722457,0.033722457,250,25
50,3,F,B,2,3,FB,0.247270885,2201.402,1,2,2.5,FAST,24.7270885,0.247270885,3.3722457,0.033722457,250,25
50,4,N,Y,1,2,NY,0.078602699,8316.133667,1,2,1.5,FAST,7.8602699,0.078602699,12.7391753,0.127391753,250,25
50,5,B,Y,3,4,BY,0.078602699,8316.133667,1,2,3.5,FAST,7.8602699,0.078602699,12.7391753,0.127391753,250,25
50,6,F,Y,2,3,FY,0.078602699,8316.133667,1,2,2.5,FAST,7.8602699,0.078602699,12.7391753,0.127391753,250,25
51,1,N,B,3,4,NB,0.193984202,1453.612,1,2,3.5,FAST,19.3984202,0.193984202,2.2267341,0.022267341,196,19.6
51,2,B,B,2,3,BB,0.193984202,1453.612,1,2,2.5,FAST,19.3984202,0.193984202,2.2267341,0.022267341,196,19.6
51,3,F,B,5,7,FB,0.193984202,1453.612,1,2,6,SLOW,19.3984202,0.193984202,2.2267341,0.022267341,196,19.6
51,4,N,Y,5,6,NY,0.051700155,8491.560333,1,2,5.5,SLOW,5.1700155,0.051700155,13.0079049,0.130079049,196,19.6
51,5,B,Y,3,5,BY,0.051700155,8491.560333,1,2,4,FAST,5.1700155,0.051700155,13.0079049,0.130079049,196,19.6
51,6,F,Y,4,5,FY,0.051700155,8491.560333,1,2,4.5,FAST,5.1700155,0.051700155,13.0079049,0.130079049,196,19.6
52,1,N,B,2,3,NB,0.13670943,1181.908333,1,2,2.5,FAST,13.670943,0.13670943,1.8105213,0.018105213,228,22.8
52,2,B,B,13,14,BB,0.13670943,1181.908333,2,2,13.5,SLOW,13.670943,0.13670943,1.8105213,0.018105213,228,22.8
52,3,F,B,3,5,FB,0.13670943,1181.908333,1,2,4,FAST,13.670943,0.13670943,1.8105213,0.018105213,228,22.8
52,4,N,Y,2,3,NY,0.098469535,7650.270667,1,2,2.5,FAST,9.8469535,0.098469535,11.7191646,0.117191646,228,22.8
52,5,B,Y,2,3,BY,0.098469535,7650.270667,1,2,2.5,FAST,9.8469535,0.098469535,11.7191646,0.117191646,228,22.8
52,6,F,Y,2,3,FY,0.098469535,7650.270667,1,2,2.5,FAST,9.8469535,0.098469535,11.7191646,0.117191646,228,22.8
53,1,N,B,8,14,NB,0.168740505,553.7756667,2,1,11,SLOW,16.8740505,0.168740505,0.8483083,0.008483083,272,27.2
53,2,B,B,1,2,BB,0.168740505,553.7756667,1,1,1.5,FAST,16.8740505,0.168740505,0.8483083,0.008483083,272,27.2
53,3,F,B,1,2,FB,0.168740505,553.7756667,1,1,1.5,FAST,16.8740505,0.168740505,0.8483083,0.008483083,272,27.2
53,4,N,Y,2,3,NY,0.078699279,7021.468333,1,1,2.5,FAST,7.8699279,0.078699279,10.7559258,0.107559258,272,27.2
53,5,B,Y,3,9,BY,0.078699279,7021.468333,1,1,6,SLOW,7.8699279,0.078699279,10.7559258,0.107559258,272,27.2
53,6,F,Y,17,19,FY,0.078699279,7021.468333,2,1,18,SLOW,7.8699279,0.078699279,10.7559258,0.107559258,272,27.2
54,1,N,B,2,3,NB,0.20921471,1679.466333,1,2,2.5,FAST,20.921471,0.20921471,2.5727119,0.025727119,191,19.1
54,2,B,B,3,4,BB,0.20921471,1679.466333,1,2,3.5,FAST,20.921471,0.20921471,2.5727119,0.025727119,191,19.1
54,3,F,B,3,4,FB,0.20921471,1679.466333,1,2,3.5,FAST,20.921471,0.20921471,2.5727119,0.025727119,191,19.1
54,4,N,Y,2,3,NY,0.037101044,9355.139667,1,2,2.5,FAST,3.7101044,0.037101044,14.3307899,0.143307899,191,19.1
54,5,B,Y,2,3,BY,0.037101044,9355.139667,1,2,2.5,FAST,3.7101044,0.037101044,14.3307899,0.143307899,191,19.1
54,6,F,Y,3,6,FY,0.037101044,9355.139667,1,2,4.5,FAST,3.7101044,0.037101044,14.3307899,0.143307899,191,19.1
55,1,N,B,1,2,NB,0.207870987,1896.764667,1,2,1.5,FAST,20.7870987,0.207870987,2.9055831,0.029055831,414,41.4
55,2,B,B,3,4,BB,0.207870987,1896.764667,1,2,3.5,FAST,20.7870987,0.207870987,2.9055831,0.029055831,414,41.4
55,3,F,B,3,4,FB,0.207870987,1896.764667,1,2,3.5,FAST,20.7870987,0.207870987,2.9055831,0.029055831,414,41.4
55,4,N,Y,3,4,NY,0.035916856,8692.994667,1,2,3.5,FAST,3.5916856,0.035916856,13.3164747,0.133164747,414,41.4
55,5,B,Y,2,3,BY,0.035916856,8692.994667,1,2,2.5,FAST,3.5916856,0.035916856,13.3164747,0.133164747,414,41.4
55,6,F,Y,1,2,FY,0.035916856,8692.994667,1,2,1.5,FAST,3.5916856,0.035916856,13.3164747,0.133164747,414,41.4
56,1,N,B,2,3,NB,0.154978309,1719.075333,1,2,2.5,FAST,15.4978309,0.154978309,2.6333875,0.026333875,299,29.9
56,2,B,B,3,12,BB,0.154978309,1719.075333,1,2,7.5,SLOW,15.4978309,0.154978309,2.6333875,0.026333875,299,29.9
56,3,F,B,19,21,FB,0.154978309,1719.075333,2,2,20,SLOW,15.4978309,0.154978309,2.6333875,0.026333875,299,29.9
56,4,N,Y,11,18,NY,0.091287289,7993.160667,2,2,14.5,SLOW,9.1287289,0.091287289,12.244425,0.12244425,299,29.9
56,5,B,Y,10,13,BY,0.091287289,7993.160667,2,2,11.5,SLOW,9.1287289,0.091287289,12.244425,0.12244425,299,29.9
56,6,F,Y,14,15,FY,0.091287289,7993.160667,2,2,14.5,SLOW,9.1287289,0.091287289,12.244425,0.12244425,299,29.9
57,1,N,B,2,3,NB,0.221281227,138.2326667,1,1,2.5,FAST,22.1281227,0.221281227,0.2117535,0.002117535,96,9.6
57,2,B,B,4,10,BB,0.221281227,138.2326667,1,1,7,SLOW,22.1281227,0.221281227,0.2117535,0.002117535,96,9.6
57,3,F,B,14,15,FB,0.221281227,138.2326667,2,1,14.5,SLOW,22.1281227,0.221281227,0.2117535,0.002117535,96,9.6
57,4,N,Y,20,23,NY,0.051874686,7466.782333,2,1,21.5,SLOW,5.1874686,0.051874686,11.4380857,0.114380857,96,9.6
57,5,B,Y,3,11,BY,0.051874686,7466.782333,1,1,7,SLOW,5.1874686,0.051874686,11.4380857,0.114380857,96,9.6
57,6,F,Y,6,20,FY,0.051874686,7466.782333,2,1,13,SLOW,5.1874686,0.051874686,11.4380857,0.114380857,96,9.6
58,1,N,B,4,9,NB,0.25220112,1775.17,1,1,6.5,SLOW,25.220112,0.25220112,2.7193168,0.027193168,93,9.3
58,2,B,B,2,3,BB,0.25220112,1775.17,1,1,2.5,FAST,25.220112,0.25220112,2.7193168,0.027193168,93,9.3
58,3,F,B,4,9,FB,0.25220112,1775.17,1,1,6.5,SLOW,25.220112,0.25220112,2.7193168,0.027193168,93,9.3
58,4,N,Y,3,7,NY,0.045046523,6026.191333,1,1,5,SLOW,4.5046523,0.045046523,9.231298,0.09231298,93,9.3
58,5,B,Y,3,4,BY,0.045046523,6026.191333,1,1,3.5,FAST,4.5046523,0.045046523,9.231298,0.09231298,93,9.3
58,6,F,Y,13,24,FY,0.045046523,6026.191333,2,1,18.5,SLOW,4.5046523,0.045046523,9.231298,0.09231298,93,9.3
59,1,N,B,5,7,NB,0.219587873,21.483,1,2,6,SLOW,21.9587873,0.219587873,0.032909,0.00032909,178,17.8
59,2,B,B,3,4,BB,0.219587873,21.483,1,2,3.5,FAST,21.9587873,0.219587873,0.032909,0.00032909,178,17.8
59,3,F,B,2,3,FB,0.219587873,21.483,1,2,2.5,FAST,21.9587873,0.219587873,0.032909,0.00032909,178,17.8
59,4,N,Y,1,2,NY,0.082525864,8367.963667,1,2,1.5,FAST,8.2525864,0.082525864,12.8185718,0.128185718,178,17.8
59,5,B,Y,2,3,BY,0.082525864,8367.963667,1,2,2.5,FAST,8.2525864,0.082525864,12.8185718,0.128185718,178,17.8
59,6,F,Y,5,6,FY,0.082525864,8367.963667,1,2,5.5,SLOW,8.2525864,0.082525864,12.8185718,0.128185718,178,17.8
60,1,N,B,16,22,NB,0.239556717,6567.01,2,3,19,SLOW,23.9556717,0.239556717,10.059758,0.10059758,106,10.6
60,2,B,B,6,22,BB,0.239556717,6567.01,2,3,14,SLOW,23.9556717,0.239556717,10.059758,0.10059758,106,10.6
60,3,F,B,15,18,FB,0.239556717,6567.01,2,3,16.5,SLOW,23.9556717,0.239556717,10.059758,0.10059758,106,10.6
60,4,N,Y,13,15,NY,0.051228177,1413.761,2,3,14,SLOW,5.1228177,0.051228177,2.1656878,0.021656878,106,10.6
60,5,B,Y,9,11,BY,0.051228177,1413.761,2,3,10,SLOW,5.1228177,0.051228177,2.1656878,0.021656878,106,10.6
60,6,F,Y,23,24,FY,0.051228177,1413.761,2,3,23.5,SLOW,5.1228177,0.051228177,2.1656878,0.021656878,106,10.6
61,1,N,B,2,5,NB,0.291374849,3330.499667,1,5,3.5,FAST,29.1374849,0.291374849,5.1018684,0.051018684,113,11.3
61,2,B,B,2,3,BB,0.291374849,3330.499667,1,5,2.5,FAST,29.1374849,0.291374849,5.1018684,0.051018684,113,11.3
61,3,F,B,4,14,FB,0.291374849,3330.499667,1,5,9,SLOW,29.1374849,0.291374849,5.1018684,0.051018684,113,11.3
61,4,N,Y,7,14,NY,0.144946575,11050.23733,2,5,10.5,SLOW,14.4946575,0.144946575,16.9274469,0.169274469,113,11.3
61,5,B,Y,3,4,BY,0.144946575,11050.23733,1,5,3.5,FAST,14.4946575,0.144946575,16.9274469,0.169274469,113,11.3
61,6,F,Y,7,8,FY,0.144946575,11050.23733,1,5,7.5,SLOW,14.4946575,0.144946575,16.9274469,0.169274469,113,11.3
62,1,N,B,9,20,NB,0.139886804,1667.135,2,2,14.5,SLOW,13.9886804,0.139886804,2.553822,0.02553822,209,20.9
62,2,B,B,4,11,BB,0.139886804,1667.135,1,2,7.5,SLOW,13.9886804,0.139886804,2.553822,0.02553822,209,20.9
62,3,F,B,4,6,FB,0.139886804,1667.135,1,2,5,SLOW,13.9886804,0.139886804,2.553822,0.02553822,209,20.9
62,4,N,Y,3,5,NY,0.002158536,17513.477,1,2,4,FAST,0.2158536,0.002158536,26.828243,0.26828243,209,20.9
62,5,B,Y,3,4,BY,0.002158536,17513.477,1,2,3.5,FAST,0.2158536,0.002158536,26.828243,0.26828243,209,20.9
62,6,F,Y,5,6,FY,0.002158536,17513.477,1,2,5.5,SLOW,0.2158536,0.002158536,26.828243,0.26828243,209,20.9
63,1,N,B,4,20,NB,0.142311432,1174.764333,2,1,12,SLOW,14.2311432,0.142311432,1.7995777,0.017995777,109,10.9
63,2,B,B,1,2,BB,0.142311432,1174.764333,1,1,1.5,FAST,14.2311432,0.142311432,1.7995777,0.017995777,109,10.9
63,3,F,B,10,25,FB,0.142311432,1174.764333,2,1,17.5,SLOW,14.2311432,0.142311432,1.7995777,0.017995777,109,10.9
63,4,N,Y,0,0,NY,0.022537224,13429.86667,1,1,0,FAST,2.2537224,0.022537224,20.5727124,0.205727124,109,10.9
63,5,B,Y,4,5,BY,0.022537224,13429.86667,1,1,4.5,FAST,2.2537224,0.022537224,20.5727124,0.205727124,109,10.9
63,6,F,Y,8,13,FY,0.022537224,13429.86667,2,1,10.5,SLOW,2.2537224,0.022537224,20.5727124,0.205727124,109,10.9
64,1,N,B,3,4,NB,0.125857658,3386.505,1,3,3.5,FAST,12.5857658,0.125857658,5.1876608,0.051876608,134,13.4
64,2,B,B,3,4,BB,0.125857658,3386.505,1,3,3.5,FAST,12.5857658,0.125857658,5.1876608,0.051876608,134,13.4
64,3,F,B,6,7,FB,0.125857658,3386.505,1,3,6.5,SLOW,12.5857658,0.125857658,5.1876608,0.051876608,134,13.4
64,4,N,Y,2,3,NY,0.02867686,9126.626,1,3,2.5,FAST,2.867686,0.02867686,13.9807384,0.139807384,134,13.4
64,5,B,Y,3,4,BY,0.02867686,9126.626,1,3,3.5,FAST,2.867686,0.02867686,13.9807384,0.139807384,134,13.4
64,6,F,Y,10,20,FY,0.02867686,9126.626,2,3,15,SLOW,2.867686,0.02867686,13.9807384,0.139807384,134,13.4
65,1,N,B,1,2,NB,0.150174148,1921.467667,1,2,1.5,FAST,15.0174148,0.150174148,2.9434247,0.029434247,213,21.3
65,2,B,B,2,3,BB,0.150174148,1921.467667,1,2,2.5,FAST,15.0174148,0.150174148,2.9434247,0.029434247,213,21.3
65,3,F,B,2,3,FB,0.150174148,1921.467667,1,2,2.5,FAST,15.0174148,0.150174148,2.9434247,0.029434247,213,21.3
65,4,N,Y,2,3,NY,0.005506046,17974.3,1,2,2.5,FAST,0.5506046,0.005506046,27.5341605,0.275341605,213,21.3
65,5,B,Y,1,2,BY,0.005506046,17974.3,1,2,1.5,FAST,0.5506046,0.005506046,27.5341605,0.275341605,213,21.3
65,6,F,Y,1,2,FY,0.005506046,17974.3,1,2,1.5,FAST,0.5506046,0.005506046,27.5341605,0.275341605,213,21.3
66,1,N,B,5,9,NB,0.159562583,1277.434333,1,2,7,SLOW,15.9562583,0.159562583,1.9568541,0.019568541,249,24.9
66,2,B,B,1,2,BB,0.159562583,1277.434333,1,2,1.5,FAST,15.9562583,0.159562583,1.9568541,0.019568541,249,24.9
66,3,F,B,5,66,FB,0.159562583,1277.434333,2,2,35.5,SLOW,15.9562583,0.159562583,1.9568541,0.019568541,249,24.9
66,4,N,Y,3,11,NY,0.035620893,14450.42367,1,2,7,SLOW,3.5620893,0.035620893,22.1360657,0.221360657,249,24.9
66,5,B,Y,3,4,BY,0.035620893,14450.42367,1,2,3.5,FAST,3.5620893,0.035620893,22.1360657,0.221360657,249,24.9
66,6,F,Y,3,4,FY,0.035620893,14450.42367,1,2,3.5,FAST,3.5620893,0.035620893,22.1360657,0.221360657,249,24.9
67,1,N,B,2,3,NB,0.263432071,2341.298333,1,4,2.5,FAST,26.3432071,0.263432071,3.5865477,0.035865477,248,24.8
67,2,B,B,3,4,BB,0.263432071,2341.298333,1,4,3.5,FAST,26.3432071,0.263432071,3.5865477,0.035865477,248,24.8
67,3,F,B,2,3,FB,0.263432071,2341.298333,1,4,2.5,FAST,26.3432071,0.263432071,3.5865477,0.035865477,248,24.8
67,4,N,Y,6,7,NY,0.06655871,13286.65967,1,4,6.5,SLOW,6.655871,0.06655871,20.353339,0.20353339,248,24.8
67,5,B,Y,1,2,BY,0.06655871,13286.65967,1,4,1.5,FAST,6.655871,0.06655871,20.353339,0.20353339,248,24.8
67,6,F,Y,3,4,FY,0.06655871,13286.65967,1,4,3.5,FAST,6.655871,0.06655871,20.353339,0.20353339,248,24.8
68,1,N,B,3,4,NB,0.216895162,1440.064,1,2,3.5,FAST,21.6895162,0.216895162,2.2059804,0.022059804,227,22.7
68,2,B,B,3,4,BB,0.216895162,1440.064,1,2,3.5,FAST,21.6895162,0.216895162,2.2059804,0.022059804,227,22.7
68,3,F,B,1,2,FB,0.216895162,1440.064,1,2,1.5,FAST,21.6895162,0.216895162,2.2059804,0.022059804,227,22.7
68,4,N,Y,8,9,NY,0.04988277,17181.768,1,2,8.5,SLOW,4.988277,0.04988277,26.3201103,0.263201103,227,22.7
68,5,B,Y,1,2,BY,0.04988277,17181.768,1,2,1.5,FAST,4.988277,0.04988277,26.3201103,0.263201103,227,22.7
68,6,F,Y,12,13,FY,0.04988277,17181.768,2,2,12.5,SLOW,4.988277,0.04988277,26.3201103,0.263201103,227,22.7
69,1,N,B,8,16,NB,0.135457539,2064.766667,2,2,12,SLOW,13.5457539,0.135457539,3.1629391,0.031629391,179,17.9
69,2,B,B,3,11,BB,0.135457539,2064.766667,1,2,7,SLOW,13.5457539,0.135457539,3.1629391,0.031629391,179,17.9
69,3,F,B,4,9,FB,0.135457539,2064.766667,1,2,6.5,SLOW,13.5457539,0.135457539,3.1629391,0.031629391,179,17.9
69,4,N,Y,42,46,NY,0.090431077,12096.31367,2,2,44,SLOW,9.0431077,0.090431077,18.5298923,0.185298923,179,17.9
69,5,B,Y,3,11,BY,0.090431077,12096.31367,1,2,7,SLOW,9.0431077,0.090431077,18.5298923,0.185298923,179,17.9
69,6,F,Y,4,27,FY,0.090431077,12096.31367,2,2,15.5,SLOW,9.0431077,0.090431077,18.5298923,0.185298923,179,17.9
70,1,N,B,8,15,NB,0.226056028,1656.580667,2,1,11.5,SLOW,22.6056028,0.226056028,2.5376542,0.025376542,253,25.3
70,2,B,B,5,21,BB,0.226056028,1656.580667,2,1,13,SLOW,22.6056028,0.226056028,2.5376542,0.025376542,253,25.3
70,3,F,B,5,6,FB,0.226056028,1656.580667,1,1,5.5,SLOW,22.6056028,0.226056028,2.5376542,0.025376542,253,25.3
70,4,N,Y,4,5,NY,0.066580185,14213.47567,1,1,4.5,FAST,6.6580185,0.066580185,21.7730939,0.217730939,253,25.3
70,5,B,Y,7,16,BY,0.066580185,14213.47567,2,1,11.5,SLOW,6.6580185,0.066580185,21.7730939,0.217730939,253,25.3
70,6,F,Y,3,16,FY,0.066580185,14213.47567,1,1,9.5,SLOW,6.6580185,0.066580185,21.7730939,0.217730939,253,25.3
72,1,N,B,14,16,NB,0.224585221,141.1833333,2,1,15,SLOW,22.4585221,0.224585221,0.2162735,0.002162735,114,11.4
72,2,B,B,2,3,BB,0.224585221,141.1833333,1,1,2.5,FAST,22.4585221,0.224585221,0.2162735,0.002162735,114,11.4
72,3,F,B,13,25,FB,0.224585221,141.1833333,2,1,19,SLOW,22.4585221,0.224585221,0.2162735,0.002162735,114,11.4
72,4,N,Y,3,4,NY,0.060446217,15839.94167,1,1,3.5,FAST,6.0446217,0.060446217,24.2646165,0.242646165,114,11.4
72,5,B,Y,3,21,BY,0.060446217,15839.94167,2,1,12,SLOW,6.0446217,0.060446217,24.2646165,0.242646165,114,11.4
72,6,F,Y,3,12,FY,0.060446217,15839.94167,1,1,7.5,SLOW,6.0446217,0.060446217,24.2646165,0.242646165,114,11.4
73,1,N,B,7,8,NB,0.101773971,5493.282,1,1,7.5,SLOW,10.1773971,0.101773971,8.414954,0.08414954,85,8.5
73,2,B,B,4,5,BB,0.101773971,5493.282,1,1,4.5,FAST,10.1773971,0.101773971,8.414954,0.08414954,85,8.5
73,3,F,B,9,11,FB,0.101773971,5493.282,2,1,10,SLOW,10.1773971,0.101773971,8.414954,0.08414954,85,8.5
73,4,N,Y,1,2,NY,0.056540396,10166.09833,1,1,1.5,FAST,5.6540396,0.056540396,15.5730673,0.155730673,85,8.5
73,5,B,Y,1,2,BY,0.056540396,10166.09833,1,1,1.5,FAST,5.6540396,0.056540396,15.5730673,0.155730673,85,8.5
73,6,F,Y,3,4,FY,0.056540396,10166.09833,1,1,3.5,FAST,5.6540396,0.056540396,15.5730673,0.155730673,85,8.5
74,1,N,B,8,9,NB,0.301849879,1016.438667,1,4,8.5,SLOW,30.1849879,0.301849879,1.5570445,0.015570445,123,12.3
74,2,B,B,3,4,BB,0.301849879,1016.438667,1,4,3.5,FAST,30.1849879,0.301849879,1.5570445,0.015570445,123,12.3
74,3,F,B,5,6,FB,0.301849879,1016.438667,1,4,5.5,SLOW,30.1849879,0.301849879,1.5570445,0.015570445,123,12.3
74,4,N,Y,5,6,NY,0.153077537,18002.373,1,4,5.5,SLOW,15.3077537,0.153077537,27.5771645,0.275771645,123,12.3
74,5,B,Y,3,8,BY,0.153077537,18002.373,1,4,5.5,SLOW,15.3077537,0.153077537,27.5771645,0.275771645,123,12.3
74,6,F,Y,1,2,FY,0.153077537,18002.373,1,4,1.5,FAST,15.3077537,0.153077537,27.5771645,0.275771645,123,12.3
75,1,N,B,1,2,NB,0.224698278,497.9936667,1,1,1.5,FAST,22.4698278,0.224698278,0.7628579,0.007628579,95,9.5
75,2,B,B,1,2,BB,0.224698278,497.9936667,1,1,1.5,FAST,22.4698278,0.224698278,0.7628579,0.007628579,95,9.5
75,3,F,B,1,2,FB,0.224698278,497.9936667,1,1,1.5,FAST,22.4698278,0.224698278,0.7628579,0.007628579,95,9.5
75,4,N,Y,8,14,NY,0.06146664,16006.32533,2,1,11,SLOW,6.146664,0.06146664,24.5194935,0.245194935,95,9.5
75,5,B,Y,3,4,BY,0.06146664,16006.32533,1,1,3.5,FAST,6.146664,0.06146664,24.5194935,0.245194935,95,9.5
75,6,F,Y,3,4,FY,0.06146664,16006.32533,1,1,3.5,FAST,6.146664,0.06146664,24.5194935,0.245194935,95,9.5
76,1,N,B,1,2,NB,0.144937632,971.1286667,1,2,1.5,FAST,14.4937632,0.144937632,1.4876358,0.014876358,114,11.4
76,2,B,B,4,5,BB,0.144937632,971.1286667,1,2,4.5,FAST,14.4937632,0.144937632,1.4876358,0.014876358,114,11.4
76,3,F,B,3,4,FB,0.144937632,971.1286667,1,2,3.5,FAST,14.4937632,0.144937632,1.4876358,0.014876358,114,11.4
76,4,N,Y,4,6,NY,0.031786857,16679.118,1,2,5,SLOW,3.1786857,0.031786857,25.5501195,0.255501195,114,11.4
76,5,B,Y,3,4,BY,0.031786857,16679.118,1,2,3.5,FAST,3.1786857,0.031786857,25.5501195,0.255501195,114,11.4
76,6,F,Y,4,7,FY,0.031786857,16679.118,1,2,5.5,SLOW,3.1786857,0.031786857,25.5501195,0.255501195,114,11.4
77,1,N,B,2,3,NB,0.158497226,532.1703333,1,1,2.5,FAST,15.8497226,0.158497226,0.8152119,0.008152119,109,10.9
77,2,B,B,3,4,BB,0.158497226,532.1703333,1,1,3.5,FAST,15.8497226,0.158497226,0.8152119,0.008152119,109,10.9
77,3,F,B,1,2,FB,0.158497226,532.1703333,1,1,1.5,FAST,15.8497226,0.158497226,0.8152119,0.008152119,109,10.9
77,4,N,Y,2,3,NY,0.008272707,16145.56033,1,1,2.5,FAST,0.8272707,0.008272707,24.7327824,0.247327824,109,10.9
